Code,variables
B02001_001E,"{'label': 'Estimate!!Total:', 'concept': 'RACE', 'predicateType': 'int', 'group': 'B02001', 'limit': 0, 'attributes': 'B02001_001EA,B02001_001M,B02001_001MA'}"
B02001_002E,"{'label': 'Estimate!!Total:!!White alone', 'concept': 'RACE', 'predicateType': 'int', 'group': 'B02001', 'limit': 0, 'attributes': 'B02001_002EA,B02001_002M,B02001_002MA'}"
B02001_003E,"{'label': 'Estimate!!Total:!!Black or African American alone', 'concept': 'RACE', 'predicateType': 'int', 'group': 'B02001', 'limit': 0, 'attributes': 'B02001_003EA,B02001_003M,B02001_003MA'}"
B02001_004E,"{'label': 'Estimate!!Total:!!American Indian and Alaska Native alone', 'concept': 'RACE', 'predicateType': 'int', 'group': 'B02001', 'limit': 0, 'attributes': 'B02001_004EA,B02001_004M,B02001_004MA'}"
B02001_005E,"{'label': 'Estimate!!Total:!!Asian alone', 'concept': 'RACE', 'predicateType': 'int', 'group': 'B02001', 'limit': 0, 'attributes': 'B02001_005EA,B02001_005M,B02001_005MA'}"
B02001_006E,"{'label': 'Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone', 'concept': 'RACE', 'predicateType': 'int', 'group': 'B02001', 'limit': 0, 'attributes': 'B02001_006EA,B02001_006M,B02001_006MA'}"
B02001_007E,"{'label': 'Estimate!!Total:!!Some other race alone', 'concept': 'RACE', 'predicateType': 'int', 'group': 'B02001', 'limit': 0, 'attributes': 'B02001_007EA,B02001_007M,B02001_007MA'}"
B02001_008E,"{'label': 'Estimate!!Total:!!Two or more races:', 'concept': 'RACE', 'predicateType': 'int', 'group': 'B02001', 'limit': 0, 'attributes': 'B02001_008EA,B02001_008M,B02001_008MA'}"
B02001_009E,"{'label': 'Estimate!!Total:!!Two or more races:!!Two races including Some other race', 'concept': 'RACE', 'predicateType': 'int', 'group': 'B02001', 'limit': 0, 'attributes': 'B02001_009EA,B02001_009M,B02001_009MA'}"
B02001_010E,"{'label': 'Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races', 'concept': 'RACE', 'predicateType': 'int', 'group': 'B02001', 'limit': 0, 'attributes': 'B02001_010EA,B02001_010M,B02001_010MA'}"
